Personality type,Temperature (C),Spider Mass (mg),Survival (40 days),Day of Death,Egg Case
Aggressive,24,0.0067,0,21,.
Aggressive,24,0.0066,0,14,.
Aggressive,24,0.0059,0,13,.
Aggressive,24,0.0066,0,27,.
Aggressive,24,0.0052,0,33,.
Aggressive,24,0.0077,0,6,.
Aggressive,26,0.0076,0,9,.
Aggressive,26,0.0055,0,15,.
Aggressive,26,0.0062,0,18,.
Aggressive,26,0.0053,0,32,.
Aggressive,26,0.0077,0,37,.
Aggressive,28,0.0093,0,16,.
Aggressive,28,0.0076,0,27,.
Aggressive,28,0.0083,0,13,.
Aggressive,30,0.0072,0,8,.
Aggressive,30,0.0073,0,3,.
Aggressive,30,0.0081,0,9,.
Aggressive,30,0.0101,0,11,.
Aggressive,30,0.0084,0,16,.
Aggressive,30,0.0056,0,18,.
Aggressive,30,0.0058,0,21,.
Aggressive,30,0.0076,0,24,.
Aggressive,30,0.0061,0,29,.
Aggressive,30,0.0061,0,16,.
Aggressive,30,0.0068,0,31,.
Aggressive,30,0.007,0,35,.
Aggressive,30,0.008,0,36,.
Aggressive,30,0.0055,0,27,.
Aggressive,30,0.0057,0,38,.
Aggressive,30,0.0058,0,31,.
Aggressive,32,0.0086,0,38,.
Aggressive,32,0.0069,0,26,.
Aggressive,32,0.0056,0,17,.
Aggressive,32,0.0062,0,9,.
Aggressive,32,0.0098,0,32,.
Aggressive,32,0.0073,0,36,.
Aggressive,32,0.0077,0,33,.
Aggressive,32,0.0067,0,2,.
Aggressive,32,0.007,0,21,.
Aggressive,32,0.0095,0,15,.
Aggressive,32,0.0062,0,18,.
Aggressive,32,0.0071,0,15,.
Aggressive,32,0.0101,0,14,.
Aggressive,32,0.0092,0,11,.
Aggressive,34,0.0074,0,10,.
Aggressive,34,0.0081,0,8,.
Aggressive,34,0.0077,0,9,.
Aggressive,34,0.0091,0,11,.
Aggressive,34,0.0078,0,32,.
Aggressive,34,0.0073,0,27,.
Aggressive,34,0.0082,0,11,.
Aggressive,34,0.0073,0,27,.
Aggressive,34,0.0082,0,21,.
Aggressive,34,0.0087,0,13,.
Aggressive,34,0.0093,0,11,.
Aggressive,34,0.0076,0,12,.
Aggressive,34,0.0091,0,16,.
Aggressive,34,0.0082,0,13,.
Aggressive,34,0.0073,0,12,.
Aggressive,34,0.0081,0,17,.
