Personality type,Temperature (C),Spider Mass (mg),Survival (40 days),Day of Death,Egg Case
Aggressive,24,0.0067,0,21,0
Aggressive,24,0.0066,0,14,0
Aggressive,24,0.0059,0,13,0
Aggressive,24,0.0066,0,27,0
Aggressive,24,0.0052,0,33,0
Aggressive,24,0.0077,0,6,0
Aggressive,26,0.0076,0,9,0
Aggressive,26,0.0055,0,15,0
Aggressive,26,0.0062,0,18,0
Aggressive,26,0.0053,0,32,0
Aggressive,26,0.0077,0,37,0
Aggressive,28,0.0093,0,16,0
Aggressive,28,0.0076,0,27,0
Aggressive,28,0.0083,0,13,0
Aggressive,30,0.0072,0,8,0
Aggressive,30,0.0073,0,3,0
Aggressive,30,0.0081,0,9,0
Aggressive,30,0.0101,0,11,0
Aggressive,30,0.0084,0,16,0
Aggressive,30,0.0056,0,18,0
Aggressive,30,0.0058,0,21,0
Aggressive,30,0.0076,0,24,0
Aggressive,30,0.0061,0,29,0
Aggressive,30,0.0061,0,16,0
Aggressive,30,0.0068,0,31,0
Aggressive,30,0.007,0,35,0
Aggressive,30,0.008,0,36,0
Aggressive,30,0.0055,0,27,0
Aggressive,30,0.0057,0,38,0
Aggressive,30,0.0058,0,31,0
Aggressive,32,0.0086,0,38,0
Aggressive,32,0.0069,0,26,0
Aggressive,32,0.0056,0,17,0
Aggressive,32,0.0062,0,9,0
Aggressive,32,0.0098,0,32,0
Aggressive,32,0.0073,0,36,0
Aggressive,32,0.0077,0,33,0
Aggressive,32,0.0067,0,2,0
Aggressive,32,0.007,0,21,0
Aggressive,32,0.0095,0,15,0
Aggressive,32,0.0062,0,18,0
Aggressive,32,0.0071,0,15,0
Aggressive,32,0.0101,0,14,0
Aggressive,32,0.0092,0,11,0
Aggressive,34,0.0074,0,10,0
Aggressive,34,0.0081,0,8,0
Aggressive,34,0.0077,0,9,0
Aggressive,34,0.0091,0,11,0
Aggressive,34,0.0078,0,32,0
Aggressive,34,0.0073,0,27,0
Aggressive,34,0.0082,0,11,0
Aggressive,34,0.0073,0,27,0
Aggressive,34,0.0082,0,21,0
Aggressive,34,0.0087,0,13,0
Aggressive,34,0.0093,0,11,0
Aggressive,34,0.0076,0,12,0
Aggressive,34,0.0091,0,16,0
Aggressive,34,0.0082,0,13,0
Aggressive,34,0.0073,0,12,0
Aggressive,34,0.0081,0,17,0
Aggressive,34,0.0061,0,12,0
Aggressive,24,0.0056,1,0,1
Aggressive,24,0.0066,1,0,1
Aggressive,24,0.0059,1,0,1
Aggressive,24,0.0056,1,0,1
Aggressive,24,0.007,1,0,1
Aggressive,24,0.0081,1,0,1
Aggressive,26,0.0056,1,0,1
Aggressive,26,0.0078,1,0,1
Aggressive,26,0.0069,1,0,1
Aggressive,26,0.0058,1,0,0
Aggressive,26,0.0059,1,0,0
Aggressive,26,0.0072,1,0,1
Aggressive,26,0.005,1,0,1
Aggressive,26,0.0097,1,0,1
Aggressive,26,0.0073,1,0,1
Aggressive,26,0.0081,1,0,1
Aggressive,26,0.0077,1,0,1
Aggressive,28,0.0082,1,0,1
Aggressive,28,0.0083,1,0,1
Aggressive,28,0.0087,1,0,0
Aggressive,28,0.0093,1,0,0
Aggressive,28,0.0071,1,0,0
Aggressive,28,0.0073,1,0,1
Aggressive,28,0.0091,1,0,1
Aggressive,28,0.0102,1,0,1
Aggressive,28,0.0076,1,0,0
Aggressive,28,0.0071,1,0,1
Aggressive,28,0.0085,1,0,1
Aggressive,30,0.0095,1,0,0
Aggressive,30,0.007,1,0,1
Aggressive,30,0.0071,1,0,1
Aggressive,30,0.0087,1,0,1
Aggressive,30,0.0056,1,0,0
Aggressive,30,0.0066,1,0,0
Aggressive,32,0.0084,1,0,0
Aggressive,32,0.008,1,0,0
Aggressive,34,0.0077,1,0,0
Aggressive,34,0.0077,1,0,0
Aggressive,34,0.0082,1,0,0
Docile,24,0.0049,0,26,0
Docile,24,0.0052,0,31,0
Docile,24,0.0062,0,26,0
Docile,24,0.0053,0,15,0
Docile,24,0.0059,0,21,0
Docile,24,0.0055,0,30,0
Docile,26,0.0072,0,31,0
Docile,26,0.0078,0,37,0
Docile,26,0.0061,0,12,0
Docile,26,0.008,0,21,0
Docile,28,0.0066,0,8,0
Docile,28,0.0062,0,4,0
Docile,28,0.0058,0,21,0
Docile,28,0.0067,0,26,0
Docile,30,0.0086,0,33,0
Docile,30,0.0069,0,30,0
Docile,30,0.0083,0,37,0
Docile,30,0.0065,0,21,0
Docile,30,0.0047,0,31,0
Docile,30,0.0062,0,11,0
Docile,32,0.0067,0,13,0
Docile,32,0.0066,0,16,0
Docile,32,0.0067,0,17,0
Docile,34,0.0066,0,13,0
Docile,34,0.0046,0,17,0
Docile,34,0.0063,0,14,0
Docile,24,0.0081,1,0,0
Docile,24,0.0061,1,0,0
Docile,24,0.0083,1,0,0
Docile,26,0.0058,1,0,0
Docile,26,0.0062,1,0,1
Docile,26,0.0066,1,0,0
Docile,26,0.0062,1,0,0
Docile,26,0.0067,1,0,1
Docile,26,0.0068,1,0,1
Docile,26,0.0078,1,0,0
Docile,26,0.0056,1,0,1
Docile,26,0.0058,1,0,1
Docile,26,0.0076,1,0,0
Docile,26,0.0087,1,0,1
Docile,26,0.0061,1,0,1
Docile,26,0.0068,1,0,0
Docile,26,0.0056,1,0,0
Docile,26,0.007,1,0,0
Docile,28,0.0055,1,0,0
Docile,28,0.0057,1,0,1
Docile,28,0.0058,1,0,0
Docile,28,0.0086,1,0,0
Docile,28,0.0069,1,0,0
Docile,28,0.0056,1,0,0
Docile,28,0.0078,1,0,1
Docile,28,0.0052,1,0,1
Docile,28,0.0058,1,0,0
Docile,28,0.0059,1,0,0
Docile,28,0.0067,1,0,0
Docile,28,0.0069,1,0,0
Docile,28,0.0067,1,0,1
Docile,28,0.0065,1,0,1
Docile,28,0.0066,1,0,0
Docile,30,0.0061,1,0,1
Docile,30,0.0078,1,0,1
Docile,30,0.008,1,0,0
Docile,30,0.005,1,0,1
Docile,30,0.008,1,0,1
Docile,30,0.0058,1,0,0
Docile,30,0.0062,1,0,1
Docile,30,0.0052,1,0,1
Docile,30,0.0055,1,0,1
Docile,30,0.008,1,0,1
Docile,30,0.0056,1,0,1
Docile,30,0.0086,1,0,1
Docile,30,0.0077,1,0,1
Docile,30,0.0059,1,0,0
Docile,30,0.0066,1,0,0
Docile,30,0.0062,1,0,0
Docile,32,0.0076,1,0,1
Docile,32,0.0063,1,0,0
Docile,32,0.0058,1,0,1
Docile,32,0.0062,1,0,1
Docile,32,0.0067,1,0,1
Docile,32,0.0058,1,0,1
Docile,32,0.0072,1,0,1
Docile,32,0.0078,1,0,0
Docile,32,0.0061,1,0,1
Docile,32,0.0067,1,0,1
Docile,32,0.0076,1,0,1
Docile,32,0.0067,1,0,0
Docile,32,0.0058,1,0,1
Docile,32,0.0091,1,0,1
Docile,32,0.0072,1,0,1
Docile,32,0.008,1,0,1
Docile,32,0.0058,1,0,1
Docile,32,0.0062,1,0,1
Docile,34,0.0058,1,0,1
Docile,34,0.008,1,0,0
Docile,34,0.0078,1,0,0
Docile,34,0.0078,1,0,0
Docile,34,0.0061,1,0,1
Docile,34,0.0066,1,0,0
