colony,wdate,wlatency,platency,llatency,blatency,blatency_s,trial,treatment,volume,adults,elevation
IYR1,13/06/2019,68,9.03,520.36,NA,NA,1,P,1008,6,424
IYR3,13/06/2019,1.44,NA,90,6.03,1.72,1,R,20300,17,426
IYR2,13/06/2019,2.66,NA,26.33,3.63,6.15,1,R,23040,31,424
IYR10,13/06/2019,22.42,20.78,11.36,12.6,2.54,1,R,15834,16,432
IYR9,13/06/2019,2,NA,105.27,5.93,1.78,1,R,8246,25,432
IYR4,13/06/2019,9.15,5.72,15.54,31.81,10.18,1,R,38976,18,429
IYR8,13/06/2019,25.66,NA,171.57,NA,NA,1,R,108528,51,429
IYR6,13/06/2019,526.81,NA,88.57,NA,NA,1,R,32604,12,430
IYR7,13/06/2019,17.15,NA,24.15,NA,NA,1,R,4928,20,430
IYR5,13/06/2019,26.15,4.51,NA,NA,NA,1,C,30240,0,424
IYR15,13/06/2019,1.84,97.48,17.27,NA,NA,1,P,49392,61,407
JSR1,13/06/2019,15,3.33,22.27,3.48,4.6,1,R,264960,84,447
JSR2,13/06/2019,3.39,14.24,63.18,NA,NA,1,P,283536,124,430
JSR6,13/06/2019,4.39,23.87,67.63,64.93,29.04,1,R,55104,36,417
JSR7,13/06/2019,4.3,1.3,NA,NA,NA,1,C,241164,0,419
JSR8,13/06/2019,5.57,4.51,NA,NA,NA,1,C,186200,0,418
JSR3,13/06/2019,4.33,5.96,38.3,588.48,7.51,1,R,398400,47,418
JSR10,13/06/2019,4,98.99,98.75,NA,NA,1,P,248880,43,398
PTR5,13/06/2019,120.24,3.09,96.12,6.33,39.67,1,R,137808,30,428
PTR6,13/06/2019,6.48,10.78,141.24,NA,NA,1,P,425536,96,428
PTR4,13/06/2019,4.54,1.99,NA,NA,NA,1,C,46176,0,451
PTR3,13/06/2019,53.48,12,9.27,8.06,43.36,1,R,178600,37,440
PTR2,13/06/2019,248.54,NA,4,189.75,71.66,1,R,29376,48,456
PTR7,13/06/2019,8.39,226.92,18.63,NA,NA,1,P,5040,52,456
PTR1,13/06/2019,0.72,10.99,NA,NA,NA,1,C,335988,0,483
IYR11,13/06/2019,13.63,4.48,29.69,48.15,34.39,1,R,767520,73,433
IYR12,13/06/2019,48.57,NA,NA,NA,NA,1,C,378560,0,433
IYR13,13/06/2019,39.27,5.52,NA,NA,NA,1,C,151998,0,433
ARR16,14/06/2019,11.66,12.24,NA,NA,NA,1,C,664224,0,604
ARR1,14/06/2019,600,600,NA,NA,NA,1,C,2025600,0,656
ARR2,14/06/2019,64.39,69.99,NA,NA,NA,1,C,24440,0,706
ARR3,14/06/2019,69.99,19.27,NA,NA,NA,1,C,103785,0,706
ARR4,14/06/2019,95.72,95.69,600,7.9,116.15,1,R,18200,34,706
ARR14,14/06/2019,242.18,5.27,83.75,NA,NA,1,P,650256,40,1140
ARR15,14/06/2019,334.96,6.63,NA,NA,NA,1,C,9765,0,1146
ARR18,14/06/2019,147.18,101.09,8.09,NA,NA,1,P,11520,28,1053
ARR12,14/06/2019,21.45,9.99,8.42,NA,NA,1,P,107008,103,1056
ARR17,14/06/2019,19.75,16.15,183.96,NA,NA,1,P,430140,66,1026
ARR11,14/06/2019,80.66,78.33,NA,NA,NA,1,C,179256,0,1012
ARR10,14/06/2019,600,105.24,72,NA,NA,1,P,378560,55,1010
ARR9,14/06/2019,42.45,4.63,NA,NA,NA,1,C,124020,0,1007
ARR13,14/06/2019,70.36,49.05,5.09,NA,NA,1,P,35836,25,1110
ARR7,14/06/2019,10.78,8.36,144.51,NA,NA,1,P,7560,4,933
ARR8,14/06/2019,5.42,10.58,109.78,3.6,14.12,1,R,52800,47,933
ARR6,14/06/2019,31.42,12.51,NA,NA,NA,1,C,23040,0,898
IYR5,15/06/2019,83.63,21.93,NA,NA,NA,2,C,30240,0,424
IYR8,15/06/2019,12.75,NA,15.3,NA,NA,2,R,108528,51,429
IYR7,15/06/2019,54.45,NA,6.33,NA,NA,2,R,4928,20,430
IYR6,15/06/2019,125.33,NA,517.78,NA,NA,2,R,32604,12,430
IYR4,15/06/2019,5.27,6.03,12.99,28.3,15.57,2,R,38976,18,429
IYR9,15/06/2019,3.54,NA,100.72,61.93,2.12,2,R,8246,25,432
IYR10,15/06/2019,167.96,33.42,8,16.06,4.6,2,R,15834,16,432
IYR1,15/06/2019,189.78,10.57,600,NA,NA,2,P,1008,6,424
IYR3,15/06/2019,4.75,NA,6.57,156.93,17.15,2,R,20300,17,426
IYR2,15/06/2019,9.69,NA,2.18,9.18,7.78,2,R,23040,31,424
IYR15,15/06/2019,38.03,30.54,109.78,NA,NA,2,P,49392,61,407
JSR1,15/06/2019,15.15,16.72,3.78,14.6,44.72,2,R,264960,84,447
