SerialNumber,ColonyID,Source,Batch,Treatment,Window,Situation,Trial,Latency,Number,Fused
20,Grob12c1,Grob12,1,Tree,No,Cup,1,106.25,1,1
44,Grob12c1,Grob12,1,Tree,No,Cup,2,17.13,1,1
69,Grob12c1,Grob12,1,Tree,No,Pre,3,133.37,3,1
81,Grob12c1,Grob12,1,Tree,No,Pre,4,11.5,2,1
105,Grob12c1,Grob12,1,Tree,No,Trial,6,29.5,6,1
120,Grob12c1,Grob12,1,Tree,No,Trial,7,8.78,1,1
132,Grob12c1,Grob12,1,Tree,No,Trial,8,3.22,5,1
145,Grob12c1,Grob12,1,Tree,No,TrialWindA,9,12.75,1,1
159,Grob12c1,Grob12,1,Tree,No,TrialWindB,10,13.34,1,1
170,Grob12c1,Grob12,1,Tree,No,TrialWindA,11,21.25,1,1
185,Grob12c1,Grob12,1,Tree,No,TrialWindB,12,14.93,1,1
21,Grob12c2,Grob12,1,Fence,Window,Cup,1,180,0,0
53,Grob12c2,Grob12,1,Fence,Window,Cup,2,180,0,0
67,Grob12c2,Grob12,1,Fence,Window,Pre,3,9.82,6,0
83,Grob12c2,Grob12,1,Fence,Window,Pre,4,6.79,4,0
94,Grob12c2,Grob12,1,Fence,Window,Trial,5,8,3,0
106,Grob12c2,Grob12,1,Fence,Window,Trial,6,16.44,2,0
121,Grob12c2,Grob12,1,Fence,Window,Trial,7,4.91,4,0
133,Grob12c2,Grob12,1,Fence,Window,Trial,8,3.71,4,0
147,Grob12c2,Grob12,1,Fence,Window,TrialWindA,9,71.66,2,0
160,Grob12c2,Grob12,1,Fence,Window,TrialWindB,10,12.4,1,0
172,Grob12c2,Grob12,1,Fence,Window,TrialWindA,11,24.68,3,0
186,Grob12c2,Grob12,1,Fence,Window,TrialWindB,12,26.41,3,0
190,Grob14c1,Grob14,3,Tree,Window,Cup,2,5.34,4,0
350,Grob14c1,Grob14,3,Tree,Window,Pre,3,3.53,3,0
362,Grob14c1,Grob14,3,Tree,Window,Pre,4,1.78,4,0
379,Grob14c1,Grob14,3,Tree,Window,Trial,5,15.03,3,0
390,Grob14c1,Grob14,3,Tree,Window,Trial,6,7.12,2,0
406,Grob14c1,Grob14,3,Tree,Window,Trial,7,3.12,1,0
416,Grob14c1,Grob14,3,Tree,Window,Trial,8,18.44,7,0
432,Grob14c1,Grob14,3,Tree,Window,TrialWindA,9,31.47,8,0
445,Grob14c1,Grob14,3,Tree,Window,TrialWindB,10,180,5,0
455,Grob14c1,Grob14,3,Tree,Window,TrialWindA,11,8.06,2,0
468,Grob14c1,Grob14,3,Tree,Window,TrialWindB,12,8.59,4,0
22,Grob2c1,Grob2,2,Tree,No,Cup,1,180,0,0
215,Grob2c1,Grob2,2,Tree,No,Cup,2,21.37,2,0
216,Grob2c1,Grob2,2,Tree,No,Pre,4,3.82,6,0
243,Grob2c1,Grob2,2,Tree,No,Trial,5,6.56,3,0
244,Grob2c1,Grob2,2,Tree,No,Trial,6,3.1,2,0
265,Grob2c1,Grob2,2,Tree,No,Trial,8,2.41,3,0
292,Grob2c1,Grob2,2,Tree,No,TrialWindA,9,23.25,2,0
306,Grob2c1,Grob2,2,Tree,No,TrialWindB,10,4.85,2,0
307,Grob2c1,Grob2,2,Tree,No,TrialWindA,11,2.88,1,0
321,Grob2c1,Grob2,2,Tree,No,TrialWindB,12,38.69,4,0
35,Grob4c1,Grob4,2,Fence,Window,Cup,1,180,0,0
201,Grob4c1,Grob4,2,Fence,Window,Cup,2,6.5,2,0
203,Grob4c1,Grob4,2,Fence,Window,Pre,3,4.09,1,0
228,Grob4c1,Grob4,2,Fence,Window,Pre,4,4.13,2,0
