Individual,1,2,3,4,5,6,7,colony,treatment
W,27,465,600,4,109,600,600,BR10-1,allbold
YV,7,67,600,342,113,,,BR10-1,allbold
LG,23,600,600,600,600,600,600,BR10-1,allbold
DG,30,600,12,600,600,600,600,BR10-1,allbold
B,11,600,600,345,600,600,600,BR10-1,allbold
V,13,103,600,76,600,276,196,BR10-1,allbold
P,33,600,600,50,90,600,600,BR10-1,allbold
R,4,600,245,554,600,600,600,BR10-1,allbold
O,6,7,7,600,420,600,225,BR10-1,allbold
LOB,90,600,436,600,600,600,600,BR10-1,allbold
W,108,600,600,600,320,450,600,BR10-10,allbold
YV,13,600,,,,,,BR10-10,allbold
LG,9,600,600,600,600,600,537,BR10-10,allbold
DG,52,600,600,600,600,,,BR10-10,allbold
B,62,600,270,600,600,600,,BR10-10,allbold
V,76,600,600,600,374,600,64,BR10-10,allbold
P,9,600,600,600,600,600,600,BR10-10,allbold
R,110,600,55,600,600,600,600,BR10-10,allbold
O,62,600,514,600,165,600,,BR10-10,allbold
LOB,56,600,600,600,600,600,600,BR10-10,allbold
W,19,12,76,15,600,600,600,BR10-2,allbold
YV,29,600,550,600,600,600,555,BR10-2,allbold
LG,81,600,600,600,600,,600,BR10-2,allbold
DG,31,246,10,452,600,600,600,BR10-2,allbold
B,47,600,21,600,90,600,600,BR10-2,allbold
V,27,600,20,92,600,30,600,BR10-2,allbold
P,15,600,19,190,600,600,600,BR10-2,allbold
R,13,404,33,25,600,600,600,BR10-2,allbold
O,20,236,81,110,600,270,600,BR10-2,allbold
LOB,5,600,29,402,600,600,600,BR10-2,allbold
W,28,600,600,600,350,600,442,BR10-3,keystone
YV,600,600,600,600,600,600,142,BR10-3,keystone
LG,600,600,600,600,600,,,BR10-3,keystone
DG,600,600,,,,,,BR10-3,keystone
B,600,197,275,600,600,600,,BR10-3,keystone
V,600,600,473,600,481,378,89,BR10-3,keystone
P,600,600,15,300,105,55,600,BR10-3,keystone
R,600,600,600,600,600,,,BR10-3,keystone
O,600,600,9,600,600,120,503,BR10-3,keystone
LOB,600,303,15,600,600,600,600,BR10-3,keystone
W,28,600,61,600,161,600,327,BR10-4,keystone
YV,600,36,214,600,305,144,,BR10-4,keystone
LG,600,133,600,278,,,,BR10-4,keystone
DG,600,600,24,119,82,300,600,BR10-4,keystone
B,600,600,600,54,400,50,600,BR10-4,keystone
V,600,16,600,600,79,,,BR10-4,keystone
P,600,600,15,91,,,,BR10-4,keystone
R,600,311,408,512,600,379,400,BR10-4,keystone
O,600,600,600,600,600,600,600,BR10-4,keystone
LOB,600,600,414,600,600,210,600,BR10-4,keystone
W,36,497,600,600,148,531,353,BR10-5,keystone
YV,600,600,600,600,,,,BR10-5,keystone
LG,600,600,600,505,600,600,352,BR10-5,keystone
DG,600,,,,,,,BR10-5,keystone
B,600,158,600,335,90,527,600,BR10-5,keystone
V,600,314,600,600,600,600,,BR10-5,keystone
P,600,600,600,600,600,,,BR10-5,keystone
R,600,600,600,,,,,BR10-5,keystone
O,600,600,600,600,600,130,600,BR10-5,keystone
LOBB,600,405,600,488,600,424,600,BR10-5,keystone
W,600,600,39,600,600,600,600,BR10-6,allshy
YV,600,600,600,600,,,,BR10-6,allshy
LG,600,600,600,600,514,600,104,BR10-6,allshy
DG,600,600,192,264,600,600,403,BR10-6,allshy
B,600,600,600,523,600,,,BR10-6,allshy
P,600,,,,,,,BR10-6,allshy
R,600,600,600,600,600,600,,BR10-6,allshy
O,600,214,381,600,600,600,600,BR10-6,allshy
LOB,600,600,600,385,,,,BR10-6,allshy
V,600,600,600,600,260,600,187,BR10-6,allshy
W,600,600,600,22,548,600,600,BR10-7,allshy
YV,600,600,600,600,600,600,600,BR10-7,allshy
LG,481,286,440,175,600,,,BR10-7,allshy
DG,426,600,600,37,600,600,558,BR10-7,allshy
B,469,266,600,208,370,140,78,BR10-7,allshy
V,548,600,396,42,600,,,BR10-7,allshy
P,600,600,600,,,,,BR10-7,allshy
R,600,600,600,,,,,BR10-7,allshy
O,600,600,300,120,83,544,,BR10-7,allshy
LOB,600,600,600,547,291,173,433,BR10-7,allshy
W,600,600,600,544,151,600,,BR10-8,allshy
YV,600,600,600,600,190,600,600,BR10-8,allshy
LG,578,600,600,439,600,600,600,BR10-8,allshy
DG,583,600,16,197,575,600,600,BR10-8,allshy
B,512,600,240,460,485,94,169,BR10-8,allshy
V,494,600,600,349,600,,,BR10-8,allshy
P,600,380,240,49,60,600,119,BR10-8,allshy
R,600,600,600,600,175,3,,BR10-8,allshy
O,600,600,240,600,600,600,600,BR10-8,allshy
LOB,600,220,7,346,570,600,176,BR10-8,allshy
W,40,26,90,600,260,,,BR10-9,keystone
YV,600,448,600,172,600,,,BR10-9,keystone
LG,600,600,123,41,,,,BR10-9,keystone
DG,600,600,600,600,600,600,,BR10-9,keystone
B,600,600,600,600,59,600,,BR10-9,keystone
V,600,600,76,600,572,340,600,BR10-9,keystone
P,600,600,600,10,600,600,535,BR10-9,keystone
R,600,600,600,,,,,BR10-9,keystone
O,600,405,600,242,600,600,,BR10-9,keystone
