Colony,Workers.05/15/18,Brood.05/15/18,Synchrony,Avg. activity,Avg. Valley Height,Avg. Peak Height,Period_wavelet,Rhythmicity
A10,227,119,0.040904707,0.226605803,0.131403643,0.372648155,49.38507677,0.081741688
A11,124,119,0.039347598,0.351729002,0.225316167,0.496394535,47.21635591,0.108444836
A18,178,92,0.047390443,0.300123004,0.1685822,0.46110956,42.4441442,0.123592743
A5,128,58,0.023664829,0.327225828,0.22017858,0.438194411,44.61328142,0.075797253
A7,101,52,0.092680322,0.227407642,0.08955044,0.452336442,59.36247846,0.132517183
A8,126,109,0.032515648,0.275135957,0.177136784,0.397682188,47.53029164,0.082278654
A9,137,119,0.036256043,0.311573993,0.208616855,0.440203677,50.91728624,0.082588278
D10,190,81,0.034700826,0.259976582,0.165687377,0.376435051,44.04523394,0.073660291
D13,262,131,0.025644405,0.268494591,0.180847877,0.379693745,58.63792386,0.054022061
D15,207,119,0.034769478,0.242067435,0.140955212,0.363020885,51.26433152,0.083171213
D16,204,108,0.028321124,0.236103312,0.152690453,0.341892714,37.8358029,0.060674203
D17,96,32,0.071136389,0.265337735,0.144823494,0.447464825,45.07298146,0.122069288
D4,179,169,0.027755963,0.219337864,0.129005195,0.333329653,55.69536796,0.059023077
D8,148,207,0.018088375,0.291116778,0.198792532,0.393371146,69.77093443,0.052719295
D9,141,136,0.033817364,0.292931414,0.1796109,0.426000866,41.94805843,0.094729362
R10,132,90,0.042437542,0.268351464,0.154269439,0.401393464,43.57116704,0.097372348
R5,151,85,0.03116897,0.320044016,0.221540161,0.448271699,35.66170087,0.088041408
R8,156,81,0.047074224,0.233418042,0.112574451,0.381196079,45.56582862,0.115237249
